 i   2*Tz    i_sp      en_sp      lam      en_phon
    1   -1    1 -29.81594  116  17.56878
    2   -1    1 -29.81594  120  26.13723
    3   -1    1 -29.81594  124  38.44953
    4   -1    1 -29.81594  131  17.41354
    5   -1    1 -29.81594  132  18.17277
    6   -1    1 -29.81594  139  25.61725
    7   -1    1 -29.81594  140  26.30055
    8   -1    1 -29.81594  146  37.39912
    9   -1    1 -29.81594  148  41.18217
   10   -1    3 -12.52997   18  11.77236
   11   -1    3 -12.52997   24  16.26691
   12   -1    3 -12.52997   28  20.20133
   13   -1    3 -12.52997   30  21.63859
   14   -1    3 -12.52997   32  23.89101
   15   -1    3 -12.52997   36  30.86891
   16   -1    3 -12.52997   43  43.21383
   17   -1    3 -12.52997   44  43.72028
   18   -1    3 -12.52997   50  12.55349
   19   -1    3 -12.52997   55  15.75305
   20   -1    3 -12.52997   62  19.28639
   21   -1    3 -12.52997   65  20.29758
   22   -1    3 -12.52997   67  22.50494
   23   -1    3 -12.52997   68  24.07362
   24   -1    3 -12.52997   72  30.29592
   25   -1    3 -12.52997   76  43.19123
   26   -1    5  -4.95925    4  11.41928
   27   -1    5  -4.95925    8  24.69989
   28   -1    5  -4.95925   12  42.37914
   29   -1    5  -4.95925   18  11.77236
   30   -1    5  -4.95925   24  16.26691
   31   -1    5  -4.95925   28  20.20133
   32   -1    5  -4.95925   30  21.63859
   33   -1    5  -4.95925   32  23.89101
   34   -1    5  -4.95925   36  30.86891
   35   -1    5  -4.95925   43  43.21383
   36   -1    5  -4.95925   44  43.72028
   37   -1    2 -33.21673  114  14.36165
   38   -1    2 -33.21673  115  15.37302
   39   -1    2 -33.21673  118  21.80330
   40   -1    2 -33.21673  119  23.56785
   41   -1    2 -33.21673  121  30.02303
   42   -1    2 -33.21673  123  35.39472
   43   -1    2 -33.21673  127  13.93815
   44   -1    2 -33.21673  128  14.50199
   45   -1    2 -33.21673  129  15.03091
   46   -1    2 -33.21673  130  15.76515
   47   -1    2 -33.21673  135  21.72118
   48   -1    2 -33.21673  136  22.48566
   49   -1    2 -33.21673  137  23.05534
   50   -1    2 -33.21673  138  23.87879
   51   -1    2 -33.21673  142  33.59052
   52   -1    2 -33.21673  143  34.67718
   53   -1    2 -33.21673  145  37.26506
   54   -1    2 -33.21673  147  38.51294
   55   -1    4 -15.82833   13   2.66279
   56   -1    4 -15.82833   15   7.59301
   57   -1    4 -15.82833   16   8.75921
   58   -1    4 -15.82833   19  13.20737
   59   -1    4 -15.82833   21  14.94935
   60   -1    4 -15.82833   23  15.98137
   61   -1    4 -15.82833   25  17.22521
   62   -1    4 -15.82833   27  18.50499
   63   -1    4 -15.82833   29  20.66594
   64   -1    4 -15.82833   31  22.52827
   65   -1    4 -15.82833   34  26.29710
   66   -1    4 -15.82833   35  28.18278
   67   -1    4 -15.82833   38  38.02872
   68   -1    4 -15.82833   40  39.87443
   69   -1    4 -15.82833   41  40.80006
   70   -1    4 -15.82833   42  41.59441
   71   -1    4 -15.82833   46   8.59442
   72   -1    4 -15.82833   47   9.30991
   73   -1    4 -15.82833   49  12.42357
   74   -1    4 -15.82833   52  13.30977
   75   -1    4 -15.82833   54  15.30382
   76   -1    4 -15.82833   56  16.02795
   77   -1    4 -15.82833   57  16.77661
   78   -1    4 -15.82833   59  17.49925
   79   -1    4 -15.82833   61  18.93737
   80   -1    4 -15.82833   63  20.05424
   81   -1    4 -15.82833   64  20.14822
   82   -1    4 -15.82833   66  21.37731
   83   -1    4 -15.82833   70  26.37662
   84   -1    4 -15.82833   71  27.80625
   85   -1    4 -15.82833   74  39.56517
   86   -1    4 -15.82833   75  41.04581
   87   -1    6  -8.08869    2   7.96513
   88   -1    6  -8.08869    3   8.64743
   89   -1    6  -8.08869    5  18.57033
   90   -1    6  -8.08869    7  21.64044
   91   -1    6  -8.08869   10  38.62196
   92   -1    6  -8.08869   11  39.97609
   93   -1    6  -8.08869   13   2.66279
   94   -1    6  -8.08869   15   7.59301
   95   -1    6  -8.08869   16   8.75921
   96   -1    6  -8.08869   19  13.20737
   97   -1    6  -8.08869   21  14.94935
   98   -1    6  -8.08869   23  15.98137
   99   -1    6  -8.08869   25  17.22521
  100   -1    6  -8.08869   27  18.50499
  101   -1    6  -8.08869   29  20.66594
  102   -1    6  -8.08869   31  22.52827
  103   -1    6  -8.08869   34  26.29710
  104   -1    6  -8.08869   35  28.18278
  105   -1    6  -8.08869   38  38.02872
  106   -1    6  -8.08869   40  39.87443
  107   -1    6  -8.08869   41  40.80006
  108   -1    6  -8.08869   42  41.59441
 reduced basis  
   37   -1    2 -33.21673  114  14.36165
   38   -1    2 -33.21673  115  15.37302
   39   -1    2 -33.21673  118  21.80330
   40   -1    2 -33.21673  119  23.56785
   41   -1    2 -33.21673  121  30.02303
   42   -1    2 -33.21673  123  35.39472
   43   -1    2 -33.21673  127  13.93815
   44   -1    2 -33.21673  128  14.50199
   45   -1    2 -33.21673  129  15.03091
   46   -1    2 -33.21673  130  15.76515
   47   -1    2 -33.21673  135  21.72118
   48   -1    2 -33.21673  136  22.48566
   49   -1    2 -33.21673  137  23.05534
   50   -1    2 -33.21673  138  23.87879
   51   -1    2 -33.21673  142  33.59052
   52   -1    2 -33.21673  143  34.67718
   53   -1    2 -33.21673  145  37.26506
   54   -1    2 -33.21673  147  38.51294
   55   -1    4 -15.82833   13   2.66279
   56   -1    4 -15.82833   15   7.59301
   57   -1    4 -15.82833   16   8.75921
   58   -1    4 -15.82833   19  13.20737
   59   -1    4 -15.82833   21  14.94935
   60   -1    4 -15.82833   23  15.98137
   61   -1    4 -15.82833   25  17.22521
   62   -1    4 -15.82833   27  18.50499
   63   -1    4 -15.82833   29  20.66594
   64   -1    4 -15.82833   31  22.52827
   65   -1    4 -15.82833   34  26.29710
   66   -1    4 -15.82833   35  28.18278
   67   -1    4 -15.82833   38  38.02872
   68   -1    4 -15.82833   40  39.87443
   69   -1    4 -15.82833   41  40.80006
   70   -1    4 -15.82833   42  41.59441
   71   -1    4 -15.82833   46   8.59442
   72   -1    4 -15.82833   47   9.30991
   73   -1    4 -15.82833   49  12.42357
   74   -1    4 -15.82833   52  13.30977
   75   -1    4 -15.82833   54  15.30382
   76   -1    4 -15.82833   56  16.02795
   77   -1    4 -15.82833   57  16.77661
   78   -1    4 -15.82833   59  17.49925
   79   -1    4 -15.82833   61  18.93737
   80   -1    4 -15.82833   63  20.05424
   81   -1    4 -15.82833   64  20.14822
   82   -1    4 -15.82833   66  21.37731
   83   -1    4 -15.82833   70  26.37662
   84   -1    4 -15.82833   71  27.80625
   85   -1    4 -15.82833   74  39.56517
   86   -1    4 -15.82833   75  41.04581
   87   -1    6  -8.08869    2   7.96513
   88   -1    6  -8.08869    3   8.64743
   89   -1    6  -8.08869    5  18.57033
   90   -1    6  -8.08869    7  21.64044
   91   -1    6  -8.08869   10  38.62196
   92   -1    6  -8.08869   11  39.97609
   93   -1    6  -8.08869   13   2.66279
   94   -1    6  -8.08869   15   7.59301
   95   -1    6  -8.08869   16   8.75921
   96   -1    6  -8.08869   19  13.20737
   97   -1    6  -8.08869   21  14.94935
   98   -1    6  -8.08869   23  15.98137
   99   -1    6  -8.08869   25  17.22521
  100   -1    6  -8.08869   27  18.50499
  101   -1    6  -8.08869   29  20.66594
  102   -1    6  -8.08869   31  22.52827
  103   -1    6  -8.08869   34  26.29710
  104   -1    6  -8.08869   35  28.18278
  105   -1    6  -8.08869   38  38.02872
  106   -1    6  -8.08869   40  39.87443
  107   -1    6  -8.08869   41  40.80006
  108   -1    6  -8.08869   42  41.59441
