 i   2*Tz    i_sp      en_sp      lam      en_phon
    1   -1    2 -33.21673  114  14.36165
    2   -1    2 -33.21673  115  15.37302
    3   -1    2 -33.21673  118  21.80330
    4   -1    2 -33.21673  119  23.56785
    5   -1    2 -33.21673  121  30.02303
    6   -1    2 -33.21673  127  13.93815
    7   -1    2 -33.21673  128  14.50199
    8   -1    2 -33.21673  129  15.03091
    9   -1    2 -33.21673  130  15.76515
   10   -1    2 -33.21673  135  21.72118
   11   -1    2 -33.21673  136  22.48566
   12   -1    2 -33.21673  137  23.05534
   13   -1    2 -33.21673  138  23.87879
   14   -1    2 -33.21673  142  33.59052
   15   -1    2 -33.21673  143  34.67718
   16   -1    2 -33.21673  145  37.26506
   17   -1    4 -15.82833   13   2.66279
   18   -1    4 -15.82833   15   7.59301
   19   -1    4 -15.82833   16   8.75921
   20   -1    4 -15.82833   19  13.20737
   21   -1    4 -15.82833   21  14.94935
   22   -1    4 -15.82833   23  15.98137
   23   -1    4 -15.82833   29  20.66594
   24   -1    4 -15.82833   31  22.52827
   25   -1    4 -15.82833   34  26.29710
   26   -1    4 -15.82833   38  38.02872
   27   -1    4 -15.82833   40  39.87443
   28   -1    4 -15.82833   46   8.59442
   29   -1    4 -15.82833   47   9.30991
   30   -1    4 -15.82833   49  12.42357
   31   -1    4 -15.82833   52  13.30977
   32   -1    4 -15.82833   54  15.30382
   33   -1    4 -15.82833   56  16.02795
   34   -1    4 -15.82833   57  16.77661
   35   -1    4 -15.82833   59  17.49925
   36   -1    4 -15.82833   61  18.93737
   37   -1    4 -15.82833   64  20.14822
   38   -1    4 -15.82833   70  26.37662
   39   -1    4 -15.82833   71  27.80625
   40   -1    4 -15.82833   74  39.56517
   41   -1    6  -8.08869    2   7.96513
   42   -1    6  -8.08869    5  18.57033
   43   -1    6  -8.08869   10  38.62196
   44   -1    6  -8.08869   15   7.59301
   45   -1    6  -8.08869   16   8.75921
   46   -1    6  -8.08869   19  13.20737
   47   -1    6  -8.08869   23  15.98137
   48   -1    6  -8.08869   27  18.50499
   49   -1    6  -8.08869   29  20.66594
   50   -1    6  -8.08869   34  26.29710
   51   -1    6  -8.08869   35  28.18278
   52   -1    6  -8.08869   38  38.02872
   53   -1    6  -8.08869   40  39.87443
