 i   2*Tz    i_sp      en_sp      lam      en_phon
    1   -1    2 -33.21673  284  17.04630
    2   -1    2 -33.21673  285  17.63045
    3   -1    2 -33.21673  286  18.06886
    4   -1    2 -33.21673  287  18.75209
    5   -1    2 -33.21673  288  20.46924
    6   -1    2 -33.21673  307  20.88470
    7   -1    2 -33.21673  308  21.45783
    8   -1    2 -33.21673  309  21.86725
    9   -1    2 -33.21673  310  22.28072
   10   -1    2 -33.21673  311  22.76654
   11   -1    2 -33.21673  312  22.94781
   12   -1    2 -33.21673  313  23.64227
   13   -1    2 -33.21673  314  23.78942
   14   -1    2 -33.21673  315  24.33769
   15   -1    2 -33.21673  316  24.77992
   16   -1    2 -33.21673  317  24.96120
   17   -1    2 -33.21673  318  25.26619
   18   -1    2 -33.21673  338  25.96026
   19   -1    2 -33.21673  339  26.09992
   20   -1    2 -33.21673  340  26.17302
   21   -1    2 -33.21673  341  26.32744
   22   -1    2 -33.21673  342  26.50837
   23   -1    2 -33.21673  343  26.76313
   24   -1    2 -33.21673  344  26.89839
   25   -1    2 -33.21673  345  27.02492
   26   -1    2 -33.21673  346  27.19499
   27   -1    2 -33.21673  347  27.50819
   28   -1    2 -33.21673  348  27.63205
   29   -1    2 -33.21673  349  27.80425
   30   -1    2 -33.21673  350  27.87164
   31   -1    2 -33.21673  366  28.03859
   32   -1    2 -33.21673  367  28.14657
   33   -1    2 -33.21673  368  28.30469
   34   -1    2 -33.21673  369  28.42925
   35   -1    2 -33.21673  370  28.75180
   36   -1    2 -33.21673  371  28.61194
   37   -1    2 -33.21673  382  29.08544
   38   -1    2 -33.21673  383  29.29255
   39   -1    2 -33.21673  384  29.45670
   40   -1    2 -33.21673  385  29.59104
   41   -1    2 -33.21673  386  29.84479
   42   -1    2 -33.21673  387  29.88977
   43   -1    2 -33.21673  397  30.03063
   44   -1    2 -33.21673  398  30.22626
   45   -1    2 -33.21673  399  30.31473
   46   -1    2 -33.21673  400  30.53210
   47   -1    2 -33.21673  401  30.42637
   48   -1    2 -33.21673  409  30.71566
   49   -1    2 -33.21673  410  30.74498
   50   -1    2 -33.21673  411  30.94239
   51   -1    2 -33.21673  412  30.97940
   52   -1    2 -33.21673  413  31.23736
   53   -1    2 -33.21673  414  31.29383
   54   -1    2 -33.21673  415  31.34958
   55   -1    2 -33.21673  416  31.47838
   56   -1    2 -33.21673  417  31.56578
   57   -1    2 -33.21673  423  31.37456
   58   -1    2 -33.21673  424  31.69185
   59   -1    2 -33.21673  425  31.74761
   60   -1    2 -33.21673  426  31.80921
   61   -1    2 -33.21673  427  31.94349
   62   -1    2 -33.21673  428  32.00870
   63   -1    2 -33.21673  429  32.09261
   64   -1    2 -33.21673  430  32.22477
   65   -1    2 -33.21673  431  32.40961
   66   -1    2 -33.21673  443  32.56000
   67   -1    2 -33.21673  444  32.69979
   68   -1    2 -33.21673  445  32.84061
   69   -1    2 -33.21673  446  32.88603
   70   -1    2 -33.21673  447  33.03319
   71   -1    2 -33.21673  448  33.78293
   72   -1    2 -33.21673  449  33.30406
   73   -1    2 -33.21673  450  33.34452
   74   -1    2 -33.21673  451  33.51393
   75   -1    2 -33.21673  452  33.44972
   76   -1    2 -33.21673  465  33.70921
   77   -1    2 -33.21673  466  34.01627
   78   -1    2 -33.21673  475  34.23846
   79   -1    2 -33.21673  476  34.32487
   80   -1    2 -33.21673  477  34.42943
   81   -1    2 -33.21673  478  34.46116
   82   -1    2 -33.21673  479  34.62966
   83   -1    2 -33.21673  480  34.76715
   84   -1    2 -33.21673 1763  16.83401
   85   -1    2 -33.21673 1764  17.23942
   86   -1    2 -33.21673 1765  17.71587
   87   -1    2 -33.21673 1766  17.94505
   88   -1    2 -33.21673 1767  17.89297
   89   -1    2 -33.21673 1790  18.39127
   90   -1    2 -33.21673 1791  18.67967
   91   -1    2 -33.21673 1792  19.11908
   92   -1    2 -33.21673 1793  19.92880
   93   -1    2 -33.21673 1794  20.18044
   94   -1    2 -33.21673 1795  20.29711
   95   -1    2 -33.21673 1796  20.41389
   96   -1    2 -33.21673 1797  21.14507
   97   -1    2 -33.21673 1798  21.38153
   98   -1    2 -33.21673 1799  21.66025
   99   -1    2 -33.21673 1800  21.77583
  100   -1    2 -33.21673 1801  21.88819
  101   -1    2 -33.21673 1802  22.08648
  102   -1    2 -33.21673 1803  22.16382
  103   -1    2 -33.21673 1804  22.35142
  104   -1    2 -33.21673 1805  22.43443
  105   -1    2 -33.21673 1806  22.64329
  106   -1    2 -33.21673 1807  22.85065
  107   -1    2 -33.21673 1808  22.94588
  108   -1    2 -33.21673 1809  23.08741
  109   -1    2 -33.21673 1812  23.35492
  110   -1    2 -33.21673 1867  23.40988
  111   -1    2 -33.21673 1868  23.65408
  112   -1    2 -33.21673 1869  23.70241
  113   -1    2 -33.21673 1870  23.82852
  114   -1    2 -33.21673 1871  24.00510
  115   -1    2 -33.21673 1872  24.16989
  116   -1    2 -33.21673 1873  24.24754
  117   -1    2 -33.21673 1874  24.38307
  118   -1    2 -33.21673 1875  24.58670
  119   -1    2 -33.21673 1876  24.63904
  120   -1    2 -33.21673 1877  24.76148
  121   -1    2 -33.21673 1878  24.92553
  122   -1    2 -33.21673 1879  25.00641
  123   -1    2 -33.21673 1880  25.11356
  124   -1    2 -33.21673 1881  25.16487
  125   -1    2 -33.21673 1882  25.22792
  126   -1    2 -33.21673 1883  25.36365
  127   -1    2 -33.21673 1884  25.44659
  128   -1    2 -33.21673 1885  25.70265
  129   -1    2 -33.21673 1886  25.73596
  130   -1    2 -33.21673 1927  25.87419
  131   -1    2 -33.21673 1928  25.95602
  132   -1    2 -33.21673 1929  26.08981
  133   -1    2 -33.21673 1930  26.13545
  134   -1    2 -33.21673 1931  26.23238
  135   -1    2 -33.21673 1932  26.30336
  136   -1    2 -33.21673 1933  26.44090
  137   -1    2 -33.21673 1934  26.49881
  138   -1    2 -33.21673 1935  26.46478
  139   -1    2 -33.21673 1936  26.60434
  140   -1    2 -33.21673 1937  26.58956
  141   -1    2 -33.21673 1938  26.73314
  142   -1    2 -33.21673 1939  27.25262
  143   -1    2 -33.21673 1940  26.79455
  144   -1    2 -33.21673 1941  26.82510
  145   -1    2 -33.21673 1942  26.90893
  146   -1    2 -33.21673 1943  26.93276
  147   -1    2 -33.21673 1944  27.20521
  148   -1    2 -33.21673 1945  27.10817
  149   -1    2 -33.21673 1946  26.99268
  150   -1    2 -33.21673 1947  27.03947
  151   -1    2 -33.21673 1978  27.36126
  152   -1    2 -33.21673 1979  27.42982
  153   -1    2 -33.21673 1980  27.48224
  154   -1    2 -33.21673 1981  27.58439
  155   -1    2 -33.21673 1982  27.70663
  156   -1    2 -33.21673 1983  27.72769
  157   -1    2 -33.21673 1984  27.80972
  158   -1    2 -33.21673 1985  27.89019
  159   -1    2 -33.21673 1986  28.22019
  160   -1    2 -33.21673 1987  27.92935
  161   -1    2 -33.21673 1988  27.99532
  162   -1    2 -33.21673 1989  27.94863
  163   -1    2 -33.21673 1990  28.08270
  164   -1    2 -33.21673 1991  28.05961
  165   -1    2 -33.21673 1992  28.18367
  166   -1    2 -33.21673 1993  28.12712
  167   -1    2 -33.21673 1994  28.14382
  168   -1    2 -33.21673 2014  28.28840
  169   -1    2 -33.21673 2015  28.40296
  170   -1    2 -33.21673 2016  28.43789
  171   -1    2 -33.21673 2017  28.54706
  172   -1    2 -33.21673 2018  28.61091
  173   -1    2 -33.21673 2019  28.47140
  174   -1    2 -33.21673 2020  28.69400
  175   -1    2 -33.21673 2021  28.75475
  176   -1    2 -33.21673 2022  28.80374
  177   -1    2 -33.21673 2023  28.77611
  178   -1    2 -33.21673 2024  28.91872
  179   -1    2 -33.21673 2025  28.85249
  180   -1    2 -33.21673 2026  28.98464
  181   -1    2 -33.21673 2049  29.08441
  182   -1    2 -33.21673 2050  29.11686
  183   -1    2 -33.21673 2051  29.22213
  184   -1    2 -33.21673 2052  29.25744
  185   -1    2 -33.21673 2053  29.31717
  186   -1    2 -33.21673 2054  29.47988
  187   -1    2 -33.21673 2055  29.52041
  188   -1    2 -33.21673 2056  29.62048
  189   -1    2 -33.21673 2057  29.57409
  190   -1    2 -33.21673 2058  29.68688
  191   -1    2 -33.21673 2059  29.75738
  192   -1    2 -33.21673 2060  29.85964
  193   -1    2 -33.21673 2061  29.83266
  194   -1    2 -33.21673 2083  29.92338
  195   -1    2 -33.21673 2084  29.97020
  196   -1    2 -33.21673 2085  30.52510
  197   -1    2 -33.21673 2086  30.17477
  198   -1    2 -33.21673 2087  30.04479
  199   -1    2 -33.21673 2088  30.09255
  200   -1    2 -33.21673 2089  30.46671
  201   -1    2 -33.21673 2090  30.25457
  202   -1    2 -33.21673 2091  30.09415
  203   -1    2 -33.21673 2092  30.11507
  204   -1    2 -33.21673 2093  30.39021
  205   -1    2 -33.21673 2094  30.37923
  206   -1    2 -33.21673 2095  30.33247
  207   -1    2 -33.21673 2096  30.31589
  208   -1    2 -33.21673 2097  30.21603
  209   -1    2 -33.21673 2145  30.84203
  210   -1    2 -33.21673 2146  30.58366
  211   -1    2 -33.21673 2147  30.59888
  212   -1    2 -33.21673 2148  30.71664
  213   -1    2 -33.21673 2149  30.65371
  214   -1    2 -33.21673 2150  30.77180
  215   -1    2 -33.21673 2151  30.79364
  216   -1    2 -33.21673 2157  30.90842
  217   -1    2 -33.21673 2158  30.99604
  218   -1    2 -33.21673 2159  30.88493
  219   -1    2 -33.21673 2160  31.24561
  220   -1    2 -33.21673 2161  30.95411
  221   -1    2 -33.21673 2162  31.03461
  222   -1    2 -33.21673 2163  31.06645
  223   -1    2 -33.21673 2164  31.20730
  224   -1    2 -33.21673 2165  31.19670
  225   -1    2 -33.21673 2166  31.13485
  226   -1    2 -33.21673 2167  31.14572
  227   -1    2 -33.21673 2175  31.29748
