 i      spur      2*Tz   i_sp     en_sp      lam      en_phon
    1    0   -1    1 -29.81594  131  17.41354
    2    0   -1    1 -29.81594  132  18.17277
    3    0   -1    1 -29.81594  139  25.61725
    4    0   -1    1 -29.81594  140  26.30055
    5    0   -1    1 -29.81594  146  37.39912
    6    0   -1    1 -29.81594  148  41.18217
    7    0   -1    1 -29.81594  152  18.11392
    8    0   -1    1 -29.81594  161  25.52778
    9    0   -1    1 -29.81594  162  26.17343
   10    0   -1    1 -29.81594  164  28.89213
   11    0   -1    1 -29.81594  170  38.06284
   12    0   -1    1 -29.81594  172  41.20178
   13    0   -1    1 -29.81594  176  47.90371
   14    0   -1    3 -12.52997    4  11.41928
   15    0   -1    3 -12.52997    8  24.69989
   16    0   -1    3 -12.52997   12  42.37914
   17    0   -1    3 -12.52997   18  11.77236
   18    0   -1    3 -12.52997   24  16.26691
   19    0   -1    3 -12.52997   28  20.20133
   20    0   -1    3 -12.52997   30  21.63859
   21    0   -1    3 -12.52997   32  23.89101
   22    0   -1    3 -12.52997   36  30.86891
   23    0   -1    3 -12.52997   43  43.21383
   24    0   -1    3 -12.52997   44  43.72028
   25    0   -1    3 -12.52997   50  12.55349
   26    0   -1    3 -12.52997   55  15.75305
   27    0   -1    3 -12.52997   62  19.28639
   28    0   -1    3 -12.52997   65  20.29758
   29    0   -1    3 -12.52997   67  22.50494
   30    0   -1    3 -12.52997   68  24.07362
   31    0   -1    3 -12.52997   72  30.29592
   32    0   -1    3 -12.52997   76  43.19123
   33    0   -1    3 -12.52997   80  12.49435
   34    0   -1    3 -12.52997   87  19.63923
   35    0   -1    3 -12.52997   91  22.56581
   36    0   -1    3 -12.52997   92  24.02028
   37    0   -1    3 -12.52997   96  30.16992
   38    0   -1    3 -12.52997  100  46.15470
   39    0   -1    5  -4.95925   18  11.77236
   40    0   -1    5  -4.95925   24  16.26691
   41    0   -1    5  -4.95925   28  20.20133
   42    0   -1    5  -4.95925   30  21.63859
   43    0   -1    5  -4.95925   32  23.89101
   44    0   -1    5  -4.95925   36  30.86891
   45    0   -1    5  -4.95925   43  43.21383
   46    0   -1    5  -4.95925   44  43.72028
   47    0   -1    5  -4.95925   50  12.55349
   48    0   -1    5  -4.95925   55  15.75305
   49    0   -1    5  -4.95925   62  19.28639
   50    0   -1    5  -4.95925   65  20.29758
   51    0   -1    5  -4.95925   67  22.50494
   52    0   -1    5  -4.95925   68  24.07362
   53    0   -1    5  -4.95925   72  30.29592
   54    0   -1    5  -4.95925   76  43.19123
   55    0   -1    2 -33.21673  127  13.93815
   56    0   -1    2 -33.21673  128  14.50199
   57    0   -1    2 -33.21673  129  15.03091
   58    0   -1    2 -33.21673  130  15.76515
   59    0   -1    2 -33.21673  135  21.72118
   60    0   -1    2 -33.21673  136  22.48566
   61    0   -1    2 -33.21673  137  23.05534
   62    0   -1    2 -33.21673  138  23.87879
   63    0   -1    2 -33.21673  142  33.59052
   64    0   -1    2 -33.21673  143  34.67718
   65    0   -1    2 -33.21673  145  37.26506
   66    0   -1    2 -33.21673  147  38.51294
   67    0   -1    2 -33.21673  150  14.38393
   68    0   -1    2 -33.21673  151  15.66197
   69    0   -1    2 -33.21673  155  21.77926
   70    0   -1    2 -33.21673  156  22.31102
   71    0   -1    2 -33.21673  158  23.32306
   72    0   -1    2 -33.21673  159  23.84867
   73    0   -1    2 -33.21673  160  24.84737
   74    0   -1    2 -33.21673  163  26.22504
   75    0   -1    2 -33.21673  165  31.37286
   76    0   -1    2 -33.21673  167  34.73415
   77    0   -1    2 -33.21673  169  37.82150
   78    0   -1    2 -33.21673  171  38.95539
   79    0   -1    2 -33.21673  174  44.03190
   80    0   -1    2 -33.21673  175  45.46868
   81    0   -1    4 -15.82833    2   7.96513
   82    0   -1    4 -15.82833    3   8.64743
   83    0   -1    4 -15.82833    5  18.57033
   84    0   -1    4 -15.82833    7  21.64044
   85    0   -1    4 -15.82833   10  38.62196
   86    0   -1    4 -15.82833   11  39.97609
   87    1   -1    4 -15.82833   13   2.66279
   88    0   -1    4 -15.82833   15   7.59301
   89    0   -1    4 -15.82833   16   8.75921
   90    0   -1    4 -15.82833   19  13.20737
   91    0   -1    4 -15.82833   21  14.94935
   92    0   -1    4 -15.82833   23  15.98137
   93    0   -1    4 -15.82833   25  17.22521
   94    0   -1    4 -15.82833   27  18.50499
   95    0   -1    4 -15.82833   29  20.66594
   96    0   -1    4 -15.82833   31  22.52827
   97    0   -1    4 -15.82833   34  26.29710
   98    0   -1    4 -15.82833   35  28.18278
   99    0   -1    4 -15.82833   38  38.02872
  100    0   -1    4 -15.82833   40  39.87443
  101    0   -1    4 -15.82833   41  40.80006
  102    0   -1    4 -15.82833   42  41.59441
  103    0   -1    4 -15.82833   46   8.59442
  104    0   -1    4 -15.82833   47   9.30991
  105    0   -1    4 -15.82833   49  12.42357
  106    0   -1    4 -15.82833   52  13.30977
  107    0   -1    4 -15.82833   54  15.30382
  108    0   -1    4 -15.82833   56  16.02795
  109    0   -1    4 -15.82833   57  16.77661
  110    0   -1    4 -15.82833   59  17.49925
  111    0   -1    4 -15.82833   61  18.93737
  112    0   -1    4 -15.82833   63  20.05424
  113    0   -1    4 -15.82833   64  20.14822
  114    0   -1    4 -15.82833   66  21.37731
  115    0   -1    4 -15.82833   70  26.37662
  116    0   -1    4 -15.82833   71  27.80625
  117    0   -1    4 -15.82833   74  39.56517
  118    0   -1    4 -15.82833   75  41.04581
  119    0   -1    4 -15.82833   78   6.93907
  120    0   -1    4 -15.82833   79   9.21441
  121    0   -1    4 -15.82833   82  15.38406
  122    0   -1    4 -15.82833   83  16.33649
  123    0   -1    4 -15.82833   86  18.83562
  124    0   -1    4 -15.82833   88  19.93580
  125    0   -1    4 -15.82833   89  20.34367
  126    0   -1    4 -15.82833   90  21.33900
  127    0   -1    4 -15.82833   94  26.59521
  128    0   -1    4 -15.82833   95  27.90627
  129    0   -1    4 -15.82833   98  42.43001
  130    0   -1    4 -15.82833   99  43.75608
  131    1   -1    6  -8.08869   13   2.66279
  132    0   -1    6  -8.08869   15   7.59301
  133    0   -1    6  -8.08869   16   8.75921
  134    0   -1    6  -8.08869   19  13.20737
  135    0   -1    6  -8.08869   21  14.94935
  136    0   -1    6  -8.08869   23  15.98137
  137    0   -1    6  -8.08869   25  17.22521
  138    0   -1    6  -8.08869   27  18.50499
  139    0   -1    6  -8.08869   29  20.66594
  140    0   -1    6  -8.08869   31  22.52827
  141    0   -1    6  -8.08869   34  26.29710
  142    0   -1    6  -8.08869   35  28.18278
  143    0   -1    6  -8.08869   38  38.02872
  144    0   -1    6  -8.08869   40  39.87443
  145    0   -1    6  -8.08869   41  40.80006
  146    0   -1    6  -8.08869   42  41.59441
  147    0   -1    6  -8.08869   46   8.59442
  148    0   -1    6  -8.08869   47   9.30991
  149    0   -1    6  -8.08869   49  12.42357
  150    0   -1    6  -8.08869   52  13.30977
  151    0   -1    6  -8.08869   54  15.30382
  152    0   -1    6  -8.08869   56  16.02795
  153    0   -1    6  -8.08869   57  16.77661
  154    0   -1    6  -8.08869   59  17.49925
  155    0   -1    6  -8.08869   61  18.93737
  156    0   -1    6  -8.08869   63  20.05424
  157    0   -1    6  -8.08869   64  20.14822
  158    0   -1    6  -8.08869   66  21.37731
  159    0   -1    6  -8.08869   70  26.37662
  160    0   -1    6  -8.08869   71  27.80625
  161    0   -1    6  -8.08869   74  39.56517
  162    0   -1    6  -8.08869   75  41.04581
 reduced basis  
   55    0   -1    2 -33.21673  127  13.93815
   56    0   -1    2 -33.21673  128  14.50199
   57    0   -1    2 -33.21673  129  15.03091
   58    0   -1    2 -33.21673  130  15.76515
   59    0   -1    2 -33.21673  135  21.72118
   60    0   -1    2 -33.21673  136  22.48566
   61    0   -1    2 -33.21673  137  23.05534
   62    0   -1    2 -33.21673  138  23.87879
   63    0   -1    2 -33.21673  142  33.59052
   64    0   -1    2 -33.21673  143  34.67718
   65    0   -1    2 -33.21673  145  37.26506
   66    0   -1    2 -33.21673  147  38.51294
   67    0   -1    2 -33.21673  150  14.38393
   68    0   -1    2 -33.21673  151  15.66197
   69    0   -1    2 -33.21673  155  21.77926
   70    0   -1    2 -33.21673  156  22.31102
   71    0   -1    2 -33.21673  158  23.32306
   72    0   -1    2 -33.21673  159  23.84867
   73    0   -1    2 -33.21673  160  24.84737
   74    0   -1    2 -33.21673  163  26.22504
   75    0   -1    2 -33.21673  165  31.37286
