 i   2*Tz    i_sp      en_sp      lam      en_phon
    1   55   -1    2 -33.21673  127  13.93815
    2   56   -1    2 -33.21673  128  14.50199
    3   57   -1    2 -33.21673  129  15.03091
    4   58   -1    2 -33.21673  130  15.76515
    5   59   -1    2 -33.21673  135  21.72118
    6   60   -1    2 -33.21673  136  22.48566
    7   61   -1    2 -33.21673  137  23.05534
    8   62   -1    2 -33.21673  138  23.87879
    9   63   -1    2 -33.21673  142  33.59052
   10   65   -1    2 -33.21673  145  37.26506
   11   67   -1    2 -33.21673  150  14.38393
   12   68   -1    2 -33.21673  151  15.66197
   13   69   -1    2 -33.21673  155  21.77926
   14   70   -1    2 -33.21673  156  22.31102
   15   71   -1    2 -33.21673  158  23.32306
   16   72   -1    2 -33.21673  159  23.84867
   17   73   -1    2 -33.21673  160  24.84737
   18   74   -1    2 -33.21673  163  26.22504
   19   75   -1    2 -33.21673  165  31.37286
   20   77   -1    2 -33.21673  169  37.82150
   21   78   -1    2 -33.21673  171  38.95539
   22   79   -1    2 -33.21673  174  44.03190
   23   81   -1    4 -15.82833    2   7.96513
   24   83   -1    4 -15.82833    5  18.57033
   25   85   -1    4 -15.82833   10  38.62196
   26   88   -1    4 -15.82833   15   7.59301
   27   90   -1    4 -15.82833   19  13.20737
   28   91   -1    4 -15.82833   21  14.94935
   29   92   -1    4 -15.82833   23  15.98137
   30   93   -1    4 -15.82833   25  17.22521
   31   94   -1    4 -15.82833   27  18.50499
   32   95   -1    4 -15.82833   29  20.66594
   33   97   -1    4 -15.82833   34  26.29710
   34   98   -1    4 -15.82833   35  28.18278
   35   99   -1    4 -15.82833   38  38.02872
   36  100   -1    4 -15.82833   40  39.87443
   37  103   -1    4 -15.82833   46   8.59442
   38  105   -1    4 -15.82833   49  12.42357
   39  106   -1    4 -15.82833   52  13.30977
   40  107   -1    4 -15.82833   54  15.30382
   41  109   -1    4 -15.82833   57  16.77661
   42  111   -1    4 -15.82833   61  18.93737
   43  112   -1    4 -15.82833   63  20.05424
   44  113   -1    4 -15.82833   64  20.14822
   45  114   -1    4 -15.82833   66  21.37731
   46  115   -1    4 -15.82833   70  26.37662
   47  117   -1    4 -15.82833   74  39.56517
   48  119   -1    4 -15.82833   78   6.93907
   49  120   -1    4 -15.82833   79   9.21441
   50  121   -1    4 -15.82833   82  15.38406
   51  122   -1    4 -15.82833   83  16.33649
   52  123   -1    4 -15.82833   86  18.83562
   53  124   -1    4 -15.82833   88  19.93580
   54  125   -1    4 -15.82833   89  20.34367
   55  126   -1    4 -15.82833   90  21.33900
   56  127   -1    4 -15.82833   94  26.59521
   57  129   -1    4 -15.82833   98  42.43001
   58  132   -1    6  -8.08869   15   7.59301
   59  134   -1    6  -8.08869   19  13.20737
   60  136   -1    6  -8.08869   23  15.98137
   61  137   -1    6  -8.08869   25  17.22521
   62  138   -1    6  -8.08869   27  18.50499
   63  139   -1    6  -8.08869   29  20.66594
   64  141   -1    6  -8.08869   34  26.29710
   65  143   -1    6  -8.08869   38  38.02872
   66  144   -1    6  -8.08869   40  39.87443
   67  147   -1    6  -8.08869   46   8.59442
   68  149   -1    6  -8.08869   49  12.42357
   69  150   -1    6  -8.08869   52  13.30977
   70  151   -1    6  -8.08869   54  15.30382
   71  152   -1    6  -8.08869   56  16.02795
   72  153   -1    6  -8.08869   57  16.77661
   73  154   -1    6  -8.08869   59  17.49925
   74  155   -1    6  -8.08869   61  18.93737
   75  157   -1    6  -8.08869   64  20.14822
   76  159   -1    6  -8.08869   70  26.37662
   77  161   -1    6  -8.08869   74  39.56517
