   tz   n    l    2j 
   -1    0    0    1             -29.81594
    1    0    0    1             -33.21673
   -1    0    1    3             -12.52997
    1    0    1    3             -15.82833
   -1    0    1    1              -4.95925
    1    0    1    1              -8.08869
   -1    0    2    5               3.12698
    1    0    2    5              -0.02419
   -1    0    0    1               3.42639
    1    0    0    1               0.66521
   -1    0    2    3               7.66830
    1    0    2    3               5.14056
   -1    0    1    1               9.48963
    1    0    1    1               7.12693
   -1    0    1    3              10.01007
    1    0    1    3               7.79831
   -1    0    3    7              12.72703
    1    0    3    7              10.29889
   -1    0    2    5              14.02046
    1    0    2    5              11.81460
